transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
3587,2022-08-11,3,14,119,9,531,1063.82,Approved,Vertrag,352,2022-08-15,,
3588,2023-12-25,1,10,45,13,8372,772.48,Approved,Direktvergabe,659,2023-12-29,PO-834990,
3589,2023-08-11,1,36,61,13,6636,3448.31,Approved,Direktvergabe,920,2023-08-14,,VTR-2025-4907
3590,2024-02-13,2,23,183,8,10531,1068.14,Approved,Direktvergabe,31,2024-02-16,PO-193455,VTR-2024-6005
3591,2023-10-21,3,36,39,3,19114,1904.11,Approved,Ausschreibung,696,2023-10-22,,VTR-2021-4653
3592,2024-08-22,2,37,161,1,19263,994.82,Pending,Ausschreibung,,,,VTR-2020-3235
3593,2022-06-24,3,40,195,15,12732,994.66,Approved,Vertrag,834,2022-06-25,PO-889880,VTR-2021-4757
3594,2024-02-27,1,19,37,12,16501,2272.35,Approved,Direktvergabe,481,2024-02-29,,VTR-2024-8650
3595,2022-09-15,1,17,106,9,2411,248.14,Approved,Vertrag,970,2022-09-18,,VTR-2024-4473
3596,2022-02-03,3,19,43,11,14096,1217.24,Approved,Direktvergabe,271,2022-02-09,PO-216383,VTR-2022-7821
3597,2022-11-09,1,25,146,15,10251,4224.67,Approved,Direktvergabe,328,2022-11-14,,VTR-2021-9904
3598,2022-05-05,2,26,7,7,15096,1835.9,Approved,Direktvergabe,388,2022-05-12,PO-661179,VTR-2024-8958
3599,2025-03-15,1,40,126,13,10984,4817.6,Approved,Vertrag,696,2025-03-21,PO-597047,VTR-2022-2274
3600,2022-08-01,1,33,154,2,12754,4118.76,Approved,Direktvergabe,544,2022-08-08,,VTR-2022-7436
3601,2024-04-29,2,26,115,10,14555,291.39,Rejected,Ausschreibung,218,2024-05-05,PO-552999,
3602,2023-12-18,2,20,158,1,1993,513.54,Approved,Vertrag,477,2023-12-21,PO-342130,VTR-2022-4177
3603,2025-04-20,1,31,169,10,10672,3226.27,Rejected,Vertrag,709,2025-04-24,PO-358471,
3604,2023-06-09,1,24,105,5,11910,1435.25,Approved,Vertrag,47,2023-06-10,PO-990876,VTR-2022-7769
3605,2024-03-24,2,36,104,4,4512,1758.55,Approved,Ausschreibung,725,2024-03-26,PO-171945,VTR-2020-4912
3606,2025-06-17,1,21,158,12,407,2341.63,Approved,Ausschreibung,726,2025-06-21,PO-763929,VTR-2020-2790
3607,2022-02-16,3,15,117,11,1402,445.72,Rejected,Ausschreibung,824,2022-02-21,PO-276174,
3608,2024-03-06,3,15,178,11,14642,1054.28,Approved,Vertrag,937,2024-03-13,PO-699707,VTR-2024-8366
3609,2023-12-12,2,18,70,10,16109,355.4,Rejected,Vertrag,391,2023-12-16,PO-796415,VTR-2022-9516
3610,2022-01-16,1,21,100,14,13220,1894.48,Approved,Ausschreibung,113,2022-01-21,PO-333224,VTR-2021-7073
3611,2023-06-13,1,33,75,2,3284,4767.04,Rejected,Ausschreibung,455,2023-06-20,,VTR-2023-5482
3612,2023-03-14,3,25,10,1,6462,784.61,Approved,Vertrag,572,2023-03-17,PO-173517,VTR-2021-9652
3613,2022-06-04,3,40,99,9,18532,1210.58,Approved,Vertrag,771,2022-06-11,PO-216996,VTR-2024-3007
3614,2024-09-25,3,38,128,3,2890,1159.19,Approved,Vertrag,308,2024-09-28,PO-919756,
3615,2023-09-08,3,20,165,9,16029,321.36,Approved,Direktvergabe,641,2023-09-12,,
3616,2023-04-10,1,22,195,10,9330,4340.94,Approved,Direktvergabe,404,2023-04-17,PO-330586,
3617,2025-06-16,2,30,9,5,11469,1636.72,Approved,Vertrag,865,2025-06-19,,VTR-2024-6358
3618,2023-03-20,2,33,105,1,1276,1460.2,Approved,Direktvergabe,48,2023-03-26,PO-565456,VTR-2023-8048
3619,2024-01-24,1,28,120,1,10031,1902.73,Approved,Ausschreibung,833,2024-01-26,PO-742464,
3620,2022-03-29,1,16,115,7,987,590.16,Approved,Ausschreibung,736,2022-03-30,PO-827577,
3621,2024-11-29,1,35,64,3,16626,1681.33,Approved,Vertrag,394,2024-12-03,,VTR-2023-5695
3622,2024-08-11,2,22,68,7,10715,1764.36,Rejected,Vertrag,254,2024-08-18,,VTR-2022-8502
3623,2025-01-27,2,29,32,9,9118,1381.67,Approved,Vertrag,808,2025-02-02,,VTR-2020-7017
3624,2022-01-12,1,27,191,14,15150,1819.36,Approved,Ausschreibung,424,2022-01-15,PO-481581,VTR-2021-4870
3625,2022-02-28,1,28,22,5,11008,621.72,Approved,Ausschreibung,764,2022-03-06,PO-766165,
3626,2022-07-24,2,11,195,7,17302,1559.9,Approved,Ausschreibung,55,2022-07-29,PO-337425,VTR-2024-3233
3627,2023-02-10,2,11,134,12,12081,1445.97,Approved,Vertrag,473,2023-02-13,PO-286119,VTR-2022-2439
3628,2022-06-08,2,14,24,13,1178,1594.25,Rejected,Vertrag,438,2022-06-11,PO-855506,
3629,2023-12-17,1,39,42,8,6851,3380.69,Approved,Direktvergabe,135,2023-12-22,PO-294514,VTR-2023-2269
3630,2024-04-19,2,19,9,2,18063,821.09,Rejected,Ausschreibung,156,2024-04-24,,
3631,2024-03-03,2,26,60,2,5519,644.41,Approved,Ausschreibung,188,2024-03-09,PO-513896,VTR-2021-7991
3632,2022-06-28,3,38,68,14,2124,319.68,Pending,Direktvergabe,,,,VTR-2020-1337
3633,2024-10-17,2,28,103,9,9177,1345.97,Approved,Vertrag,20,2024-10-20,,VTR-2025-1356
3634,2024-02-26,3,31,60,6,12363,1925.77,Rejected,Vertrag,642,2024-02-27,PO-392705,VTR-2025-6383
3635,2024-02-12,1,22,193,9,19593,402.54,Rejected,Ausschreibung,247,2024-02-15,,VTR-2023-1983
3636,2024-08-05,1,26,164,9,5184,3079.16,Rejected,Direktvergabe,234,2024-08-10,PO-374594,VTR-2020-1038
3637,2022-03-07,3,19,75,12,21,573.53,Approved,Ausschreibung,186,2022-03-09,,VTR-2021-5534
3638,2025-05-06,1,15,17,3,6364,4073.05,Rejected,Vertrag,672,2025-05-09,PO-324828,
3639,2024-02-11,1,10,21,15,1105,3688.03,Approved,Direktvergabe,3,2024-02-15,,VTR-2020-3827
3640,2022-09-25,1,27,71,1,17497,4459.93,Approved,Vertrag,514,2022-09-27,PO-219552,
3641,2022-09-14,1,32,102,14,5793,3888.79,Approved,Vertrag,957,2022-09-15,PO-675951,VTR-2023-7426
3642,2023-11-25,2,19,156,15,2241,590.33,Pending,Direktvergabe,,,,
3643,2023-08-22,2,19,101,7,1808,215.03,Approved,Ausschreibung,796,2023-08-23,,VTR-2021-7590
3644,2023-12-02,2,16,17,11,10611,684.54,Pending,Ausschreibung,,,,VTR-2023-4012
3645,2024-08-14,2,10,130,9,12564,622.01,Approved,Ausschreibung,473,2024-08-21,PO-763408,VTR-2024-1827
3646,2022-05-23,1,18,152,4,2180,361.25,Rejected,Vertrag,476,2022-05-25,PO-925798,VTR-2021-4711
3647,2025-03-11,1,28,138,15,17834,4760.27,Approved,Direktvergabe,134,2025-03-14,PO-797226,
3648,2025-02-07,3,37,99,8,169,764.73,Rejected,Ausschreibung,341,2025-02-08,PO-440056,VTR-2023-1758
3649,2023-02-15,1,22,180,12,10061,501.79,Approved,Ausschreibung,677,2023-02-18,PO-369059,VTR-2023-7968
3650,2022-06-04,2,31,49,8,2796,253.61,Approved,Ausschreibung,432,2022-06-10,PO-382339,
3651,2022-12-07,3,23,162,14,9908,301.17,Approved,Direktvergabe,578,2022-12-10,PO-745488,VTR-2021-5283
3652,2025-04-18,2,32,132,9,5334,1261.77,Approved,Ausschreibung,964,2025-04-24,,VTR-2023-3073
3653,2023-10-30,2,13,182,7,9981,691.32,Approved,Ausschreibung,699,2023-11-03,,
3654,2023-08-28,2,36,110,8,10502,1053.44,Approved,Direktvergabe,336,2023-09-04,,
3655,2024-05-18,3,40,155,9,11620,674.3,Rejected,Ausschreibung,877,2024-05-22,,VTR-2023-7411
3656,2024-11-16,1,12,51,7,1508,840.88,Rejected,Direktvergabe,57,2024-11-18,PO-137459,VTR-2021-5701
3657,2024-01-26,3,39,194,12,16983,1203.45,Approved,Vertrag,57,2024-02-01,PO-128528,
3658,2024-02-15,3,32,184,13,18765,1226.06,Approved,Ausschreibung,328,2024-02-18,PO-906120,
3659,2022-10-15,2,24,11,6,8182,1597.44,Approved,Direktvergabe,155,2022-10-20,PO-234813,VTR-2021-6629
3660,2025-05-14,3,35,54,15,13710,1085.2,Approved,Direktvergabe,285,2025-05-19,PO-208039,
3661,2023-05-15,1,29,85,15,4160,3036.36,Approved,Direktvergabe,593,2023-05-18,,
3662,2022-08-16,1,32,175,12,7376,3336.35,Pending,Direktvergabe,,,PO-203163,
3663,2025-04-16,3,35,95,5,2770,432.95,Approved,Direktvergabe,713,2025-04-23,PO-724103,
3664,2022-03-05,1,35,27,6,1696,1983.71,Approved,Vertrag,241,2022-03-11,PO-843738,VTR-2021-5382
3665,2023-10-30,2,30,15,10,6245,376.69,Approved,Ausschreibung,271,2023-11-02,PO-591512,VTR-2023-7971
3666,2022-08-02,3,24,96,5,1653,74.73,Rejected,Vertrag,674,2022-08-07,PO-997908,VTR-2023-3788
3667,2024-03-11,1,36,134,7,1078,3692.01,Approved,Ausschreibung,306,2024-03-12,PO-982086,VTR-2023-4967
3668,2025-03-07,2,29,92,8,9968,33.48,Approved,Vertrag,231,2025-03-09,PO-990794,
3669,2023-12-19,1,13,126,15,15371,1263.42,Approved,Direktvergabe,648,2023-12-26,PO-284750,VTR-2021-2386
3670,2022-08-31,2,24,26,3,17894,1744.26,Approved,Direktvergabe,52,2022-09-02,PO-495251,VTR-2025-2984
3671,2023-11-01,2,14,53,15,3562,1279.83,Approved,Vertrag,781,2023-11-02,PO-147941,
3672,2023-09-10,1,13,79,3,5182,4207.4,Approved,Direktvergabe,959,2023-09-15,PO-462596,
3673,2025-06-04,2,35,155,8,10696,1555.71,Approved,Vertrag,198,2025-06-07,PO-379598,VTR-2022-6038
3674,2023-04-16,2,39,110,2,14146,1792.0,Approved,Ausschreibung,375,2023-04-17,,
3675,2024-08-23,2,32,62,9,10765,399.01,Approved,Ausschreibung,643,2024-08-25,PO-150732,VTR-2022-9432
3676,2024-02-17,1,38,146,8,14047,2012.32,Approved,Ausschreibung,823,2024-02-23,PO-367938,VTR-2022-6080
3677,2022-09-22,1,23,91,12,911,165.2,Pending,Ausschreibung,,,,
3678,2024-02-16,1,40,180,8,11004,3595.79,Approved,Ausschreibung,201,2024-02-18,PO-221786,VTR-2023-6536
3679,2024-09-30,3,22,47,4,360,307.03,Rejected,Ausschreibung,647,2024-10-07,PO-108368,VTR-2022-5982
3680,2025-06-18,1,29,167,9,3826,2988.52,Approved,Vertrag,788,2025-06-20,PO-906541,VTR-2020-9760
3681,2022-05-05,2,13,168,5,1450,1920.62,Approved,Direktvergabe,746,2022-05-11,PO-783364,
3682,2023-03-25,3,22,5,10,3119,1918.7,Approved,Vertrag,179,2023-03-29,PO-137081,VTR-2023-9344
3683,2022-11-06,2,19,41,13,18483,1313.66,Approved,Ausschreibung,669,2022-11-08,PO-270485,
3684,2024-07-20,1,35,176,2,8510,2214.2,Approved,Ausschreibung,639,2024-07-22,PO-350205,VTR-2021-4078
3685,2025-04-12,1,28,157,6,16135,104.87,Approved,Vertrag,106,2025-04-16,PO-893371,VTR-2021-1320
3686,2025-01-10,1,13,38,9,17069,4608.5,Approved,Direktvergabe,873,2025-01-11,PO-268017,VTR-2024-6023
3687,2024-09-13,1,21,3,8,13658,1695.84,Rejected,Direktvergabe,259,2024-09-17,,VTR-2022-3471
3688,2022-06-19,3,21,142,6,6182,1829.37,Approved,Vertrag,50,2022-06-20,,VTR-2020-7939
3689,2024-08-19,2,33,167,4,11345,1582.28,Rejected,Vertrag,795,2024-08-23,PO-909051,VTR-2024-9437
3690,2022-05-28,2,17,60,1,3242,1711.38,Approved,Direktvergabe,893,2022-05-29,PO-580829,VTR-2020-8104
3691,2024-06-18,3,11,90,12,12845,1621.53,Approved,Ausschreibung,269,2024-06-22,,
3692,2023-12-18,2,11,98,15,14370,1510.43,Approved,Direktvergabe,523,2023-12-22,PO-755922,VTR-2022-1036
3693,2022-02-23,2,29,81,10,17510,583.89,Approved,Vertrag,399,2022-02-25,PO-249509,VTR-2023-2579
3694,2024-08-23,1,25,86,12,13093,2039.88,Approved,Ausschreibung,254,2024-08-24,PO-349630,VTR-2023-7160
3695,2025-01-17,1,10,57,12,4875,2633.95,Approved,Ausschreibung,660,2025-01-22,,
3696,2024-07-28,2,13,11,8,16107,1690.55,Approved,Direktvergabe,34,2024-08-01,PO-320412,VTR-2020-6058
3697,2022-03-11,1,39,182,3,15994,1861.18,Approved,Ausschreibung,711,2022-03-12,,VTR-2022-5771
3698,2025-05-21,1,12,183,6,10177,3391.22,Approved,Vertrag,268,2025-05-26,PO-270631,VTR-2024-7201
3699,2023-01-03,1,14,152,14,10721,2452.65,Approved,Direktvergabe,422,2023-01-05,PO-155296,
3700,2024-05-30,3,24,77,10,9142,97.22,Approved,Vertrag,837,2024-06-03,PO-296335,
3701,2023-12-09,1,21,118,12,16953,4141.1,Pending,Vertrag,,,,
3702,2023-06-18,2,37,155,6,5931,1045.16,Approved,Ausschreibung,503,2023-06-24,PO-962600,
3703,2023-11-29,1,10,174,1,8746,585.37,Approved,Direktvergabe,600,2023-12-01,PO-437965,
3704,2022-04-18,3,31,51,4,16392,292.93,Approved,Vertrag,101,2022-04-24,PO-895358,
3705,2022-06-13,2,13,41,9,4408,1050.04,Approved,Direktvergabe,67,2022-06-19,,VTR-2025-9678
3706,2025-04-04,3,13,8,14,13400,726.44,Approved,Direktvergabe,245,2025-04-09,,VTR-2023-2257
3707,2025-01-15,2,34,200,4,6130,672.89,Pending,Ausschreibung,,,PO-350180,VTR-2022-2781
3708,2023-11-28,2,23,131,1,17811,951.43,Approved,Ausschreibung,773,2023-12-02,,
3709,2023-12-01,2,26,187,14,8887,1629.15,Pending,Direktvergabe,,,PO-894066,
3710,2024-02-18,3,18,125,15,6395,1040.24,Pending,Direktvergabe,,,PO-591172,
3711,2022-07-06,2,25,54,4,8719,823.32,Approved,Vertrag,278,2022-07-08,PO-509884,VTR-2021-9302
3712,2023-02-02,1,35,16,6,13667,77.36,Rejected,Direktvergabe,408,2023-02-04,,
3713,2022-09-30,2,38,38,14,3699,1290.73,Approved,Vertrag,426,2022-10-04,PO-125903,VTR-2025-5275
3714,2023-07-01,3,17,174,7,17318,208.08,Approved,Vertrag,657,2023-07-08,PO-147853,VTR-2020-8460
3715,2023-07-07,2,40,90,2,4318,1171.51,Approved,Vertrag,544,2023-07-08,PO-249514,VTR-2020-1340
3716,2024-01-10,2,11,186,13,8935,557.85,Approved,Vertrag,814,2024-01-11,PO-665880,
3717,2024-08-28,1,36,51,5,7532,4593.16,Approved,Ausschreibung,763,2024-08-30,PO-427332,
3718,2023-09-25,2,10,127,15,13065,519.23,Pending,Ausschreibung,,,PO-516423,
3719,2022-11-07,3,13,8,9,5136,659.99,Approved,Direktvergabe,256,2022-11-13,PO-595913,
3720,2024-09-20,1,31,92,10,5592,4635.88,Approved,Direktvergabe,345,2024-09-21,PO-775076,VTR-2021-2334
3721,2024-03-21,2,37,87,10,9516,992.23,Approved,Direktvergabe,429,2024-03-22,PO-690713,VTR-2021-4325
3722,2023-05-09,2,36,103,7,9406,701.27,Approved,Direktvergabe,764,2023-05-16,PO-725004,
3723,2024-09-03,1,35,177,12,8710,4418.28,Approved,Vertrag,249,2024-09-04,PO-624914,VTR-2020-7744
3724,2024-08-12,1,11,184,9,6,4243.75,Approved,Direktvergabe,75,2024-08-18,,
3725,2022-01-26,2,26,8,15,18159,320.3,Pending,Ausschreibung,,,,VTR-2025-6443
3726,2025-01-26,2,14,133,13,4285,1985.83,Approved,Ausschreibung,172,2025-01-28,PO-597202,VTR-2023-4821
3727,2024-11-08,1,25,11,6,10329,1154.52,Approved,Vertrag,699,2024-11-15,,VTR-2025-6506
3728,2023-08-22,1,27,150,5,1079,2686.85,Approved,Ausschreibung,804,2023-08-24,PO-405235,VTR-2024-1900
3729,2025-04-07,2,14,11,11,12963,267.86,Approved,Vertrag,994,2025-04-13,PO-263963,
3730,2024-08-16,1,28,73,15,17992,4374.53,Pending,Vertrag,,,PO-671982,
3731,2023-06-24,1,37,27,12,4082,2040.53,Approved,Vertrag,180,2023-06-26,,VTR-2023-7881
3732,2025-02-22,1,25,126,13,5289,2608.07,Approved,Ausschreibung,867,2025-02-28,PO-291732,
3733,2022-03-04,1,25,66,1,3467,705.72,Approved,Ausschreibung,469,2022-03-08,,VTR-2021-9433
3734,2025-05-08,1,19,153,1,6410,4750.3,Approved,Ausschreibung,338,2025-05-14,,VTR-2020-1502
3735,2022-08-08,1,35,136,2,8842,2686.25,Approved,Ausschreibung,63,2022-08-11,,VTR-2020-5375
3736,2023-03-28,2,20,163,13,18661,1672.86,Approved,Direktvergabe,612,2023-04-01,,
3737,2022-11-07,3,11,115,6,19799,1625.58,Approved,Direktvergabe,748,2022-11-14,PO-575820,
3738,2025-03-11,1,39,184,6,9995,179.08,Approved,Ausschreibung,588,2025-03-17,PO-516337,VTR-2024-8081
3739,2022-06-26,1,10,138,9,16157,1418.61,Approved,Vertrag,326,2022-06-27,PO-610322,VTR-2020-1514
3740,2022-10-28,1,28,179,9,14560,4310.49,Rejected,Vertrag,825,2022-10-31,PO-961676,VTR-2020-7506
3741,2022-03-10,2,23,123,11,17553,121.31,Approved,Ausschreibung,56,2022-03-14,,
3742,2025-04-29,1,20,191,5,2116,3166.64,Approved,Direktvergabe,76,2025-05-03,,VTR-2021-5957
3743,2024-02-13,2,15,8,4,19639,873.8,Approved,Direktvergabe,897,2024-02-17,,
3744,2025-02-12,2,25,46,3,7851,1387.81,Approved,Direktvergabe,18,2025-02-15,PO-511391,VTR-2023-3639
3745,2023-08-09,3,31,121,10,15185,895.93,Approved,Ausschreibung,130,2023-08-12,PO-535608,
3746,2024-01-19,3,15,179,10,18533,1906.91,Pending,Ausschreibung,,,,VTR-2024-3924
3747,2024-05-27,2,16,171,8,2248,217.67,Approved,Ausschreibung,191,2024-05-29,PO-216422,
3748,2024-02-14,2,38,109,15,6186,862.08,Approved,Ausschreibung,324,2024-02-15,,VTR-2024-8287
3749,2022-04-24,1,37,31,8,1587,246.31,Approved,Direktvergabe,587,2022-04-26,PO-828464,VTR-2023-2168
3750,2023-12-06,2,18,192,1,14558,764.07,Approved,Direktvergabe,595,2023-12-13,,VTR-2023-8289
3751,2024-08-16,2,33,183,14,11705,665.96,Approved,Ausschreibung,781,2024-08-21,,VTR-2021-2923
3752,2025-02-15,1,28,28,5,5528,1714.97,Approved,Direktvergabe,916,2025-02-19,PO-382614,
3753,2023-02-18,2,10,110,11,11160,1983.94,Approved,Direktvergabe,303,2023-02-21,PO-622550,VTR-2020-4909
3754,2024-04-07,2,37,63,3,2530,134.36,Approved,Ausschreibung,224,2024-04-12,,VTR-2020-2734
3755,2024-03-08,2,19,155,5,2734,1848.59,Approved,Vertrag,327,2024-03-12,,VTR-2020-5485
3756,2022-05-09,2,22,20,5,14202,308.33,Approved,Ausschreibung,161,2022-05-13,PO-359587,
3757,2022-01-07,1,30,91,9,13916,4249.72,Rejected,Direktvergabe,377,2022-01-10,PO-733319,VTR-2024-4754
3758,2023-04-03,1,34,187,9,11343,211.15,Approved,Direktvergabe,902,2023-04-06,PO-239016,
3759,2022-02-07,3,16,36,5,10088,1852.8,Rejected,Direktvergabe,340,2022-02-14,PO-330643,VTR-2025-7292
3760,2023-05-23,2,21,7,5,4632,234.24,Approved,Direktvergabe,795,2023-05-27,PO-527035,VTR-2025-7766
3761,2022-12-05,2,18,116,9,9285,11.34,Approved,Vertrag,528,2022-12-09,,VTR-2022-1151
3762,2024-08-31,2,36,25,7,18168,952.78,Pending,Ausschreibung,,,PO-649479,VTR-2024-3159
3763,2022-09-02,2,40,41,14,472,1779.78,Approved,Ausschreibung,101,2022-09-09,PO-887849,VTR-2023-5635
3764,2022-03-09,1,27,10,4,11853,2019.15,Approved,Vertrag,169,2022-03-16,,
3765,2023-12-03,2,19,56,13,19222,959.6,Approved,Ausschreibung,899,2023-12-07,,VTR-2023-1124
3766,2024-02-23,3,12,164,1,14388,1005.01,Approved,Vertrag,151,2024-03-01,PO-310466,VTR-2023-4084
3767,2023-06-25,1,32,134,4,643,2585.05,Approved,Vertrag,464,2023-06-28,,
3768,2023-04-26,3,10,146,2,3088,145.51,Approved,Vertrag,319,2023-04-30,PO-690210,
3769,2024-06-18,1,22,123,8,4929,3726.91,Approved,Direktvergabe,219,2024-06-21,PO-652065,VTR-2020-4544
3770,2024-11-20,1,15,53,2,9282,2564.76,Approved,Direktvergabe,958,2024-11-24,PO-325310,VTR-2023-5271
3771,2024-03-21,1,34,183,5,18043,4188.51,Approved,Vertrag,366,2024-03-25,PO-587119,VTR-2025-4396
3772,2023-02-07,2,23,63,1,14875,1871.62,Approved,Direktvergabe,30,2023-02-08,,
3773,2022-04-30,3,27,169,15,16610,1939.24,Approved,Direktvergabe,2,2022-05-01,PO-123605,VTR-2021-2662
3774,2023-01-31,2,36,15,7,8080,99.9,Approved,Direktvergabe,577,2023-02-01,PO-943448,VTR-2025-3827
3775,2025-02-27,1,28,57,3,3410,235.29,Pending,Direktvergabe,,,PO-808934,VTR-2025-3515
3776,2022-01-15,3,15,163,6,15734,610.44,Approved,Direktvergabe,905,2022-01-22,PO-275467,VTR-2022-1601
3777,2022-10-11,2,15,172,9,1563,264.6,Approved,Vertrag,955,2022-10-15,PO-626561,VTR-2024-3911
3778,2023-11-25,2,27,183,11,9360,1043.03,Approved,Direktvergabe,504,2023-12-01,PO-245415,VTR-2020-9186
3779,2024-02-14,2,33,128,15,376,1599.35,Approved,Direktvergabe,21,2024-02-16,PO-507975,
3780,2024-04-16,3,19,136,3,8277,222.4,Approved,Direktvergabe,877,2024-04-20,PO-170543,VTR-2025-7852
3781,2025-02-04,2,19,167,4,13425,1156.9,Approved,Vertrag,259,2025-02-10,PO-196712,VTR-2020-1987
3782,2022-06-05,1,36,129,14,4956,4556.96,Approved,Direktvergabe,166,2022-06-06,,
3783,2023-12-17,3,16,109,6,5719,397.87,Approved,Vertrag,233,2023-12-19,PO-561621,
3784,2023-07-06,1,18,170,10,9556,669.08,Approved,Ausschreibung,250,2023-07-13,PO-797855,VTR-2025-8791
3785,2022-02-24,1,34,160,14,18931,3314.98,Approved,Direktvergabe,371,2022-03-03,PO-934734,VTR-2025-1936
3786,2024-06-28,1,11,181,5,4156,463.77,Approved,Ausschreibung,41,2024-06-30,PO-954780,VTR-2021-9712
3787,2023-08-11,1,11,137,8,6338,4979.01,Approved,Vertrag,903,2023-08-16,PO-236001,VTR-2020-1934
3788,2024-01-12,1,34,112,3,7097,3872.79,Approved,Direktvergabe,752,2024-01-18,PO-738310,
3789,2023-09-21,2,10,15,15,1792,1615.16,Approved,Ausschreibung,155,2023-09-27,PO-908633,
3790,2022-01-02,1,13,127,9,3304,3884.08,Pending,Ausschreibung,,,PO-390867,
3791,2022-06-22,2,19,44,1,14339,289.26,Approved,Vertrag,261,2022-06-28,PO-139800,
3792,2022-01-11,2,27,119,9,7159,182.1,Rejected,Ausschreibung,83,2022-01-15,,VTR-2024-2129
3793,2023-04-25,1,35,48,1,14514,1527.09,Approved,Vertrag,181,2023-04-28,,
3794,2023-08-14,1,15,13,6,7858,4904.65,Approved,Direktvergabe,966,2023-08-17,PO-129429,VTR-2025-7057
3795,2022-10-02,1,27,186,8,17252,4683.73,Approved,Ausschreibung,257,2022-10-09,PO-946547,
3796,2022-04-24,3,34,22,14,18543,599.72,Approved,Direktvergabe,411,2022-05-01,,VTR-2025-9821
3797,2024-10-27,2,11,31,15,14348,1194.85,Approved,Vertrag,317,2024-10-31,PO-547084,VTR-2023-1814
3798,2022-05-25,2,30,148,4,8668,1791.25,Approved,Ausschreibung,233,2022-05-28,PO-178427,VTR-2023-7187
3799,2024-10-16,1,12,139,10,9750,3052.82,Approved,Vertrag,244,2024-10-21,PO-694919,VTR-2021-7205
3800,2024-07-06,3,20,116,11,4021,348.32,Approved,Direktvergabe,494,2024-07-12,PO-689289,VTR-2021-4346
3801,2023-12-14,3,14,16,13,1475,1561.71,Approved,Ausschreibung,235,2023-12-20,PO-144487,VTR-2025-2203
3802,2025-01-08,1,33,159,14,6115,2838.1,Approved,Vertrag,698,2025-01-10,PO-705496,VTR-2020-2283
3803,2022-10-16,1,32,34,10,17772,2797.37,Approved,Vertrag,105,2022-10-21,PO-421108,VTR-2020-9135
3804,2022-10-19,1,23,107,10,19897,3560.86,Pending,Ausschreibung,,,PO-966955,
3805,2024-11-05,1,13,30,13,5120,3558.18,Approved,Direktvergabe,534,2024-11-06,,VTR-2024-1381
3806,2023-05-09,1,16,38,9,10121,2358.67,Rejected,Direktvergabe,554,2023-05-12,PO-604168,VTR-2023-5847
3807,2025-02-25,2,13,36,13,15112,441.01,Approved,Direktvergabe,110,2025-02-28,,VTR-2020-3793
3808,2024-01-11,1,24,145,6,19115,4683.9,Approved,Ausschreibung,951,2024-01-14,,
3809,2022-03-04,3,39,61,2,16332,1563.31,Approved,Vertrag,258,2022-03-09,PO-944122,
3810,2025-02-09,1,29,115,2,16198,2420.87,Approved,Vertrag,381,2025-02-14,PO-829617,
3811,2022-04-29,2,33,119,9,7483,653.89,Approved,Direktvergabe,95,2022-05-01,PO-699028,VTR-2023-7804
3812,2024-11-16,2,23,164,9,2961,1276.52,Pending,Direktvergabe,,,PO-684921,
3813,2024-05-23,1,28,112,2,15845,899.24,Approved,Direktvergabe,770,2024-05-30,PO-220054,
3814,2023-01-27,1,33,7,3,4805,2156.97,Approved,Direktvergabe,417,2023-02-03,PO-768119,VTR-2025-8444
3815,2022-12-23,2,15,6,2,2549,986.82,Pending,Vertrag,,,PO-930850,
3816,2022-04-02,1,27,165,15,19789,4907.86,Pending,Vertrag,,,PO-480992,VTR-2024-8393
3817,2024-03-29,1,10,92,6,4318,4620.9,Pending,Direktvergabe,,,PO-120395,VTR-2024-6081
3818,2022-09-01,2,31,154,9,15193,1303.45,Approved,Ausschreibung,281,2022-09-04,PO-362102,VTR-2023-7505
3819,2022-02-25,2,25,99,4,10392,1247.51,Approved,Direktvergabe,364,2022-02-26,PO-252415,VTR-2023-4391
3820,2024-11-16,1,38,182,15,14655,4515.68,Rejected,Direktvergabe,840,2024-11-20,,
3821,2022-10-28,3,12,89,9,16840,19.78,Approved,Direktvergabe,580,2022-11-02,PO-500048,
3822,2024-01-10,3,27,169,8,19578,1534.43,Rejected,Vertrag,401,2024-01-14,,VTR-2023-7380
3823,2023-11-07,1,14,147,5,6730,4939.97,Pending,Vertrag,,,PO-409259,
3824,2023-01-11,1,27,138,5,12759,1262.83,Approved,Ausschreibung,766,2023-01-17,PO-331827,
3825,2025-01-04,1,18,112,14,1563,4164.5,Approved,Ausschreibung,222,2025-01-06,,VTR-2020-5572
3826,2025-04-08,1,32,199,11,9236,787.78,Pending,Ausschreibung,,,,VTR-2024-3518
3827,2022-07-26,2,23,39,12,5777,518.42,Approved,Direktvergabe,758,2022-07-31,PO-753901,
3828,2025-02-03,2,13,197,4,2265,1928.31,Approved,Ausschreibung,402,2025-02-04,PO-401727,VTR-2021-5467
3829,2023-10-26,1,13,7,8,121,3615.26,Approved,Vertrag,140,2023-10-28,PO-961570,
3830,2024-03-13,1,23,51,2,16601,215.0,Pending,Vertrag,,,,VTR-2021-6160
3831,2022-11-06,1,24,6,1,2619,4672.1,Approved,Ausschreibung,673,2022-11-07,,
3832,2024-06-08,2,34,45,5,14449,1835.43,Pending,Vertrag,,,PO-272132,VTR-2025-3898
